pwsid,enforcement_actions_36m,formal_actions_60m,informal_actions_60m,penalty_count_60m,recent_enforcement_flag,days_since_last_enforcement,enforcement_risk_component
OH0249412,0,0,0,0,False,13856.0,0
OH0249512,0,0,0,0,False,,0
OH0249612,0,0,0,0,False,10238.0,0
OH0249712,0,0,0,0,False,,0
OH0249812,0,0,0,0,False,5275.0,0
OH0249912,0,0,0,0,False,10176.0,0
OH0250012,0,0,0,0,False,,0
OH0250112,0,0,0,0,False,,0
OH0250212,0,0,0,0,False,,0
OH0250312,0,0,0,0,False,,0
OH0250412,0,0,0,0,False,,0
OH0250512,0,0,0,0,False,,0
OH0250612,0,0,0,0,False,,0
OH0250712,0,0,0,0,False,,0
OH0250812,0,0,0,0,False,,0
OH0250912,0,0,0,0,False,,0
OH0251012,0,0,0,0,False,11656.0,0
OH0251112,0,0,0,0,False,7002.0,0
OH0251212,0,0,0,0,False,,0
OH0251312,0,0,0,0,False,5400.0,0
OH0251422,0,0,0,0,False,,0
OH0251512,0,0,0,0,False,10606.0,0
OH0251612,0,0,0,0,False,15285.0,0
OH0251712,0,0,0,0,False,6896.0,0
OH0251812,0,0,0,0,False,10846.0,0
OH0251912,5,2,6,0,True,703.0,100
OH0252012,0,0,0,0,False,7002.0,0
OH0252112,0,0,0,0,False,,0
OH0252212,4,0,3,0,True,296.0,57
OH0252312,0,0,0,0,False,13759.0,0
OH0252412,0,0,0,0,False,7990.0,0
OH0252512,0,0,0,0,False,10720.0,0
OH0252612,0,0,0,0,False,13200.0,0
OH0252712,0,0,0,0,False,12638.0,0
OH0252812,0,0,0,0,False,6898.0,0
OH0252912,0,0,0,0,False,4244.0,0
OH0253012,0,0,0,0,False,10382.0,0
OH0253112,0,0,0,0,False,,0
OH0253212,0,0,0,0,False,9423.0,0
OH0253312,0,0,0,0,False,10141.0,0
OH0253412,0,0,0,0,False,,0
OH0253512,0,0,3,0,False,1617.0,15
OH0253612,0,0,0,0,False,7002.0,0
OH0253712,0,0,0,0,False,,0
OH0253812,0,0,0,0,False,4881.0,0
OH0253912,0,0,0,0,False,,0
OH0254012,0,0,0,0,False,,0
OH0254112,0,0,0,0,False,,0
OH0254212,0,0,6,0,False,1394.0,30
OH0254312,0,0,0,0,False,6367.0,0
OH0254412,0,0,0,0,False,6172.0,0
OH0254512,0,0,0,0,False,5975.0,0
OH0254612,2,1,8,0,True,968.0,82
OH0254712,0,0,0,0,False,2376.0,0
OH0254912,4,0,3,0,True,311.0,57
OH0254913,0,0,0,0,False,3974.0,0
OH0254914,0,0,4,0,False,1328.0,20
OH0254915,5,1,6,0,True,696.0,96
OH0254916,0,0,0,0,False,2760.0,0
OH0254917,0,0,0,0,False,,0
OH0254918,0,0,0,0,False,,0
OH0254919,0,0,0,0,False,,0
OH0254920,0,0,0,0,False,,0
OH0254924,0,0,0,0,False,,0
OH0300012,0,0,0,0,False,,0
OH0300112,2,0,2,0,True,242.0,36
OH0300212,0,0,0,0,False,5951.0,0
OH0300312,0,0,0,0,False,6931.0,0
OH0300411,0,0,0,0,False,5890.0,0
OH0300512,3,0,4,0,True,192.0,54
OH0300612,0,0,0,0,False,16650.0,0
OH0300712,0,0,0,0,False,4133.0,0
OH0300812,0,0,0,0,False,2371.0,0
OH0300912,0,0,0,0,False,6917.0,0
OH0301012,8,0,10,0,True,290.0,100
OH0301112,0,0,2,0,False,1395.0,10
OH0301212,5,0,5,0,True,242.0,75
OH0301312,5,0,3,0,True,612.0,65
OH0301412,0,0,0,0,False,,0
OH0301512,0,0,0,0,False,2753.0,0
OH0330012,0,0,0,0,False,,0
OH0330112,0,0,0,0,False,2123.0,0
OH0330212,0,0,0,0,False,10615.0,0
OH0330312,0,0,0,0,False,,0
OH0330412,0,0,0,0,False,,0
OH0330512,0,0,0,0,False,,0
OH0330612,0,0,0,0,False,,0
OH0330712,0,0,0,0,False,,0
OH0330812,0,0,0,0,False,,0
OH0330912,0,0,0,0,False,7002.0,0
OH0331012,0,0,0,0,False,,0
OH0331112,0,0,0,0,False,,0
OH0331212,0,0,0,0,False,11296.0,0
OH0331312,0,0,0,0,False,7002.0,0
OH0331412,0,0,0,0,False,10462.0,0
OH0331512,0,0,0,0,False,,0
OH0331612,0,0,0,0,False,,0
OH0331712,0,0,0,0,False,,0
OH0331812,0,0,0,0,False,,0
OH0331912,0,0,0,0,False,9388.0,0
OH0332012,0,0,0,0,False,,0
OH0332112,0,0,0,0,False,,0
OH0332212,0,0,0,0,False,11296.0,0
OH0332312,0,0,0,0,False,10901.0,0
OH0332408,0,0,0,0,False,,0
OH0332512,0,0,0,0,False,,0
OH0332612,0,0,3,0,False,1559.0,15
OH0332712,0,0,0,0,False,,0
OH0332812,0,0,0,0,False,,0
OH0332908,0,0,0,0,False,,0
OH0333012,0,0,0,0,False,,0
OH0333112,0,0,0,0,False,5881.0,0
OH0333212,0,0,0,0,False,,0
OH0333311,0,0,0,0,False,,0
OH0333412,0,0,0,0,False,,0
OH0333512,0,0,0,0,False,,0
OH0333612,0,0,0,0,False,,0
OH0333712,0,0,0,0,False,,0
OH0333812,0,0,0,0,False,13128.0,0
OH0333912,0,0,0,0,False,,0
OH0334012,0,0,0,0,False,,0
OH0334112,0,0,0,0,False,12665.0,0
OH0334212,0,0,0,0,False,,0
OH0334312,0,0,0,0,False,10176.0,0
OH0334412,0,0,0,0,False,,0
OH0334512,0,0,0,0,False,,0
OH0334612,0,0,0,0,False,4867.0,0
OH0334712,0,0,0,0,False,8341.0,0
OH0334812,0,0,0,0,False,4442.0,0
OH0334912,0,0,0,0,False,10908.0,0
OH0335012,4,0,3,0,True,285.0,57
OH0335112,0,0,0,0,False,,0
OH0335212,0,0,0,0,False,10908.0,0
OH0335312,0,0,0,0,False,,0
OH0335412,0,0,0,0,False,,0
OH0335512,0,0,0,0,False,7750.0,0
OH0335612,0,0,0,0,False,9915.0,0
OH0335712,0,0,0,0,False,,0
OH0335812,0,0,0,0,False,9284.0,0
OH0335912,0,0,0,0,False,2256.0,0
OH0336012,0,0,0,0,False,,0
OH0336111,0,0,0,0,False,11566.0,0
OH0336112,0,0,0,0,False,,0
