pwsid,total_violations_12m,total_violations_36m,total_violations_60m,health_based_violations_36m,monitoring_reporting_violations_36m,repeat_violation_count_60m,max_violation_severity,days_since_last_violation,returned_to_compliance_flag,open_violation_flag,violation_trend_direction,compliance_risk_component
OH8632512,0,0,0,0,0,0,0.0,10490.0,False,False,stable_or_none,0.0
OH8632612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8632712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8632812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8632912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8633012,0,0,0,0,0,0,0.0,8116.0,False,False,stable_or_none,0.0
OH8633112,0,0,0,0,0,0,0.0,2912.0,False,False,stable_or_none,0.0
OH8633212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8633312,0,0,0,0,0,0,0.0,6017.0,False,False,stable_or_none,0.0
OH8633412,0,0,0,0,0,0,0.0,7476.0,False,False,stable_or_none,0.0
OH8633512,0,0,0,0,0,0,0.0,11129.0,False,False,stable_or_none,0.0
OH8633612,0,2,2,1,1,0,85.0,612.0,True,False,increasing,46.25
OH8633712,0,0,0,0,0,0,0.0,10947.0,False,False,stable_or_none,0.0
OH8633812,0,0,0,0,0,0,0.0,7295.0,False,False,stable_or_none,0.0
OH8633912,0,0,0,0,0,0,0.0,10855.0,False,False,stable_or_none,0.0
OH8634012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8634112,0,0,1,0,0,0,55.0,1451.0,True,False,decreasing,13.75
OH8634212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8634312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8634412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8634512,0,0,0,0,0,0,0.0,2468.0,False,False,stable_or_none,0.0
OH8634612,0,0,0,0,0,0,0.0,11038.0,False,False,stable_or_none,0.0
OH8634712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8634812,0,0,0,0,0,0,0.0,5377.0,False,False,stable_or_none,0.0
OH8634912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8635012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8635112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8635212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8635312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8635412,0,0,0,0,0,0,0.0,9486.0,False,False,stable_or_none,0.0
OH8635512,0,3,7,0,3,5,55.0,416.0,True,True,decreasing,77.75
OH8635612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8635712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8635812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8635912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8636012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8636112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8636212,1,1,3,0,1,0,55.0,232.0,True,True,decreasing,41.75
OH8636312,0,0,0,0,0,0,0.0,7203.0,False,False,stable_or_none,0.0
OH8636412,0,0,0,0,0,0,0.0,4281.0,False,False,stable_or_none,0.0
OH8636512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8636612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8636712,0,0,0,0,0,0,0.0,4738.0,False,False,stable_or_none,0.0
OH8636812,0,0,0,0,0,0,0.0,2655.0,False,False,stable_or_none,0.0
OH8636912,0,0,0,0,0,0,0.0,4373.0,False,False,stable_or_none,0.0
OH8637012,0,0,0,0,0,0,0.0,8482.0,False,False,stable_or_none,0.0
OH8637112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8637212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8637312,1,1,2,0,1,2,55.0,355.0,True,False,stable_or_none,29.75
OH8637412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8637512,0,0,0,0,0,0,0.0,6290.0,False,False,stable_or_none,0.0
OH8637612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8637712,0,0,1,0,0,0,55.0,1754.0,True,False,decreasing,13.75
OH8637812,0,0,0,0,0,0,0.0,10490.0,False,False,stable_or_none,0.0
OH8637912,0,1,1,0,1,0,55.0,994.0,True,False,increasing,21.75
OH8638012,1,1,1,0,1,0,55.0,263.0,False,False,increasing,21.75
OH8638112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8638212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8638312,0,0,0,0,0,0,0.0,7111.0,False,False,stable_or_none,0.0
OH8638412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8638512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8638612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8638712,0,0,0,0,0,0,0.0,12043.0,False,False,stable_or_none,0.0
OH8638812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8638912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8639012,0,0,0,0,0,0,0.0,10763.0,False,False,stable_or_none,0.0
OH8639112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8639212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8639312,0,0,0,0,0,0,0.0,11494.0,False,False,stable_or_none,0.0
OH8639412,0,0,0,0,0,0,0.0,12043.0,False,False,stable_or_none,0.0
OH8639512,0,2,2,1,1,0,85.0,612.0,True,False,increasing,46.25
OH8639612,0,0,0,0,0,0,0.0,4373.0,False,False,stable_or_none,0.0
OH8639712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8639812,1,1,1,0,1,0,55.0,240.0,True,False,increasing,21.75
OH8639912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8640012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8640112,0,0,0,0,0,0,0.0,10217.0,False,False,stable_or_none,0.0
OH8640212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8640312,0,0,0,0,0,0,0.0,10582.0,False,False,stable_or_none,0.0
OH8640412,0,0,0,0,0,0,0.0,5011.0,False,False,stable_or_none,0.0
OH8640512,0,0,0,0,0,0,0.0,10947.0,False,False,stable_or_none,0.0
OH8640612,0,0,0,0,0,0,0.0,6746.0,False,False,stable_or_none,0.0
OH8640712,0,0,0,0,0,0,0.0,7203.0,False,False,stable_or_none,0.0
OH8640812,0,0,0,0,0,0,0.0,6380.0,False,False,stable_or_none,0.0
OH8640912,0,0,0,0,0,0,0.0,9486.0,False,False,stable_or_none,0.0
OH8641012,0,0,0,0,0,0,0.0,10582.0,False,False,stable_or_none,0.0
OH8641112,0,0,0,0,0,0,0.0,9852.0,False,False,stable_or_none,0.0
OH8641212,0,0,0,0,0,0,0.0,3580.0,False,False,stable_or_none,0.0
OH8641312,0,0,0,0,0,0,0.0,9486.0,False,False,stable_or_none,0.0
OH8641412,0,0,0,0,0,0,0.0,9302.0,False,False,stable_or_none,0.0
OH8641512,0,0,0,0,0,0,0.0,8664.0,False,False,stable_or_none,0.0
OH8641612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8641712,0,0,0,0,0,0,0.0,4099.0,False,False,stable_or_none,0.0
OH8641812,0,0,0,0,0,0,0.0,6290.0,False,False,stable_or_none,0.0
OH8641912,1,1,3,1,0,0,85.0,355.0,True,False,decreasing,38.25
OH8642012,0,0,0,0,0,0,0.0,6290.0,False,False,stable_or_none,0.0
OH8642112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8642113,0,0,1,0,0,0,55.0,1542.0,True,False,decreasing,13.75
OH8642116,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8700012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8700112,0,0,0,0,0,0,0.0,9852.0,False,False,stable_or_none,0.0
OH8700212,0,0,0,0,0,0,0.0,6016.0,False,False,stable_or_none,0.0
OH8700311,0,0,0,0,0,0,0.0,2119.0,False,False,stable_or_none,0.0
OH8700412,0,0,0,0,0,0,0.0,2330.0,False,False,stable_or_none,0.0
OH8700512,0,0,0,0,0,0,0.0,11038.0,False,False,stable_or_none,0.0
OH8700612,0,0,0,0,0,0,0.0,5469.0,False,False,stable_or_none,0.0
OH8700711,0,0,0,0,0,0,0.0,3185.0,False,False,stable_or_none,0.0
OH8700812,0,0,0,0,0,0,0.0,12774.0,False,False,stable_or_none,0.0
OH8700912,0,0,0,0,0,0,0.0,10916.0,False,False,stable_or_none,0.0
OH8701012,0,0,0,0,0,0,0.0,15238.0,False,False,stable_or_none,0.0
OH8701112,0,2,2,1,1,0,85.0,612.0,True,False,increasing,46.25
OH8701212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8701312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8701412,0,1,2,0,0,2,25.0,978.0,True,False,stable_or_none,19.25
OH8701512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
