pwsid,enforcement_actions_36m,formal_actions_60m,informal_actions_60m,penalty_count_60m,recent_enforcement_flag,days_since_last_enforcement,enforcement_risk_component
OH0431912,0,0,0,0,False,,0
OH0432012,0,0,0,0,False,2000,0
OH0432013,0,0,0,0,False,,0
OH0432112,0,0,0,0,False,,0
OH0432212,0,0,0,0,False,1850,0
OH0432312,0,0,0,0,False,1850,0
OH0432412,0,0,0,0,False,1850,0
OH0432512,0,0,0,0,False,,0
OH0432612,0,0,0,0,False,,0
OH0432712,0,0,0,0,False,10218,0
OH0432812,0,0,0,0,False,,0
OH0432912,0,0,0,0,False,1850,0
OH0433012,0,0,0,0,False,,0
OH0433112,0,0,0,0,False,,0
OH0433212,0,0,0,0,False,,0
OH0433312,0,0,0,0,False,9547,0
OH0433412,4,0,3,0,True,947,57
OH0433422,0,0,0,0,False,7003,0
OH0433512,0,0,0,0,False,,0
OH0433612,0,0,0,0,False,3392,0
OH0433712,0,0,0,0,False,6906,0
OH0433819,0,0,0,0,False,,0
OH0433912,0,0,0,0,False,,0
OH0434012,0,0,0,0,False,,0
OH0434112,0,0,0,0,False,10702,0
OH0434212,0,0,0,0,False,10898,0
OH0434312,0,0,0,0,False,,0
OH0434412,4,0,6,0,True,415,72
OH0434512,0,0,0,0,False,10511,0
OH0434612,0,0,0,0,False,,0
OH0434712,8,1,8,0,True,537,100
OH0434812,0,0,0,0,False,,0
OH0434912,0,0,0,0,False,,0
OH0435012,0,0,0,0,False,6829,0
OH0435112,0,0,0,0,False,,0
OH0435212,0,0,0,0,False,,0
OH0435312,0,0,0,0,False,,0
OH0435412,0,0,1,0,False,1514,5
OH0435512,0,0,1,0,False,1514,5
OH0435612,0,0,0,0,False,,0
OH0435712,0,0,0,0,False,10042,0
OH0435812,0,0,0,0,False,9105,0
OH0435912,0,0,0,0,False,4982,0
OH0436012,0,0,0,0,False,10603,0
OH0436112,0,0,0,0,False,,0
OH0436212,2,0,4,0,True,573,46
OH0436312,0,0,0,0,False,,0
OH0436412,3,0,2,0,True,185,44
OH0436512,0,0,0,0,False,10562,0
OH0436612,0,0,0,0,False,10562,0
OH0436712,0,0,0,0,False,2098,0
OH0436812,0,0,0,0,False,,0
OH0436912,0,0,0,0,False,,0
OH0437012,0,0,0,0,False,,0
OH0437112,10,2,5,0,True,788,100
OH0437212,0,0,0,0,False,10568,0
OH0437312,0,0,0,0,False,,0
OH0437412,0,0,0,0,False,,0
OH0437512,0,0,0,0,False,,0
OH0437612,0,0,0,0,False,,0
OH0437712,0,0,0,0,False,,0
OH0437812,0,0,0,0,False,13389,0
OH0437912,0,0,0,0,False,,0
OH0438012,7,1,4,0,True,710,100
OH0438112,0,0,0,0,False,,0
OH0438212,0,0,0,0,False,5968,0
OH0438312,0,0,0,0,False,,0
OH0438412,0,0,0,0,False,,0
OH0438512,0,0,0,0,False,5897,0
OH0438612,0,0,0,0,False,,0
OH0438712,0,0,0,0,False,,0
OH0438812,0,0,0,0,False,,0
OH0438912,0,0,3,0,False,1633,15
OH0439012,0,0,0,0,False,,0
OH0439112,6,0,6,0,True,788,88
OH0439212,4,0,4,0,True,788,62
OH0439312,0,0,0,0,False,,0
OH0439412,0,0,0,0,False,,0
OH0439512,0,0,0,0,False,2945,0
OH0439612,0,0,0,0,False,,0
OH0439712,0,0,0,0,False,,0
OH0439812,6,0,4,0,True,448,78
OH0439912,0,0,0,0,False,,0
OH0440012,0,0,0,0,False,,0
OH0440112,0,0,0,0,False,,0
OH0440212,0,0,0,0,False,,0
OH0440312,0,0,0,0,False,11198,0
OH0440412,0,0,0,0,False,,0
OH0440512,0,0,0,0,False,,0
OH0440612,0,0,0,0,False,,0
OH0440712,0,0,0,0,False,,0
OH0440812,0,0,0,0,False,,0
OH0440919,0,0,0,0,False,,0
OH0441012,0,0,0,0,False,,0
OH0441112,0,0,0,0,False,,0
OH0441212,0,0,0,0,False,8798,0
OH0441312,0,0,0,0,False,,0
OH0441412,0,0,0,0,False,,0
OH0441512,0,0,0,0,False,,0
OH0441612,0,0,0,0,False,,0
OH0441712,0,0,0,0,False,5443,0
OH0441812,0,0,0,0,False,,0
OH0441912,0,0,0,0,False,,0
OH0442012,0,0,0,0,False,10383,0
OH0442112,0,0,0,0,False,,0
OH0442212,0,0,0,0,False,5904,0
OH0442312,6,1,6,0,True,380,100
OH0442412,0,0,0,0,False,,0
OH0442512,0,0,0,0,False,,0
OH0442612,0,0,0,0,False,6975,0
OH0442712,0,0,0,0,False,,0
OH0442812,10,1,11,0,True,335,100
OH0442912,0,0,0,0,False,,0
OH0442917,0,0,0,0,False,,0
OH0443012,0,0,0,0,False,,0
OH0443111,0,0,0,0,False,3371,0
OH0443212,0,0,0,0,False,,0
OH0443312,0,0,0,0,False,,0
OH0443412,0,0,0,0,False,,0
OH0443511,0,0,0,0,False,15326,0
OH0443612,0,0,0,0,False,,0
OH0443712,0,0,0,0,False,,0
OH0443812,0,0,0,0,False,12654,0
OH0443912,0,0,0,0,False,,0
OH0444012,0,0,0,0,False,11009,0
OH0444112,0,0,0,0,False,,0
OH0444212,0,0,0,0,False,9243,0
OH0444312,8,0,9,0,True,214,100
OH0444412,0,0,0,0,False,,0
OH0444512,0,0,0,0,False,9547,0
OH0444612,0,0,0,0,False,9547,0
OH0444712,0,0,0,0,False,3292,0
OH0444812,0,0,0,0,False,2993,0
OH0445012,0,0,0,0,False,4351,0
